,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023
06-27,,,,,,,,,,,,,,,
06-28,,,,,,,,,,,,,,,
06-29,,,,,,,,,,,,,,,
06-30,,,,,,,,,,,,,,,
07-01,,,,,,,,,,,,,,,
07-02,,,,,,,,,,,,,,,
07-03,,,,,,,,,,,,,,,
07-04,,,,,,,,,,,,,,,
07-05,,,,,,,,,,,,,,,
07-06,,,,,,,,,,,,,,,
07-07,,,,,,,,,,,,,,,
07-08,,,,,,,,,,,,,,,
07-09,,,,,,,,,,,,,,,
07-10,,,,,,,,,,,,,,,
07-11,,,,,,,,,,,,,,,
07-12,,,,,,,,,,,,,,,
07-13,,,,,,,,,,,,,,,
07-14,,,,,,,,,,,,,,,
07-15,,,,,,,,,,,,,,,
07-16,,,,,,,,,,,,,,,
07-17,,,,,,,,,,,,,,,
07-18,,,,,,,,,,,,,,,
07-19,,,,,,,,,,,,,,,
07-20,,,,,,,,,,,,,,,
07-21,,,,,,,,,,,,,,,
07-22,,,,,,,,,,,,,,,
07-23,,,,,,,,,,,,,,,
07-24,,,,,,,,,,,,,,,
07-25,,,,,,,,,,,,,,,
07-26,,,,,,,,,,,,,,,
07-27,,,,,,,,,,,,,,,
07-28,,,,,,,,,,,,,,,
07-29,,,,,,,,,,,,,,,
07-30,,,,,,,,,,,,,,,
07-31,,,,,,,,,,,,,,,
08-01,,,,,,,,,,,,,,,
08-02,,,,,,,,,,,,,,,
08-03,,,,,,,,,,,,,,,
08-04,,,,,,,,,,,,,,,
08-05,,,,,,,,,,,,,,,
08-06,,,,,,,,,,,,,,,
08-07,,,,,,,,,,,,,,,
08-08,,,,,,,,,,,,,,,
08-09,,,,,,,,,,,,,,,
08-10,,,,,,,,,,,,,,,
08-11,,,,,,,,,,,,,,,
08-12,,,,,,,,,,,,,,,
08-13,,,,,,,,,,,,,,,
08-14,,,,,,,,,,,,,,,
08-15,,,,,,,,,,,,,,,
08-16,,,,,,,,,,,,,,,
08-17,,,,,,,,,,,,,,,
08-18,,,,,,,,,,,,,,,
08-19,,,,,,,,,,,,,,,
08-20,,,,,,,,,,,,,,,
08-21,,,,,,,,,,,,,,,
08-22,,,,,,,,,,,,,,,
08-23,,,,,,,,,,,,,,,
08-24,,,,,,,,,,,,,,,
08-25,,,,,,,,,,,,,,,
08-26,,,,,,,,,,,,,,,
08-27,,,,,,,,,,,,,,,
08-28,,,,,,,,,,,,,,,
08-29,,,,,,,,,,,,,,,
08-30,,,,,,,,,,,,,,,
08-31,,,,,,,,,,,,,,,
09-01,,,,,,,,,,,,,,,
09-02,,,,,,,,,,,,,,,
09-03,,,,,,,,,,,,,,,
09-04,,,,,,,,,,,,,,,
09-05,,,,,,,,,,,,,,,
09-06,,,,,,,,,,,,,,,
09-07,,,,,,,,,,,,,,,
09-08,,,,,,,,,,,,,,,
09-09,,,,,,,,,,,,,,,
09-10,,,,,,,,,,,,,,,
09-11,,,,,,,,,,,,,,,
09-12,,,,,,,,,,,,,,,
09-13,,,,,,,,,,,,,,,
09-14,,,,,,,,,,,,,,,
09-15,,,,,,,,,,,,,,,
09-16,,,,,,,,,,,,,,,
09-17,,,,,,,,,,,,,,,
09-18,,,,,,,,,,,,,,,
09-19,,,,,,,,,,,,,,,
09-20,,,,,,,,,,,,,,,
09-21,,,,,,,,,,,,,,,
09-22,,,,,,,,,,,,,,,
09-23,,,,,,,,,,,,,,,
09-24,,,,,,,,,,,,,,,
09-25,,,,,,,,,,,,,,,
09-26,,,,,,,,,,,,,,,
09-27,,,,,,,,,,,,,,,
09-28,,,,,,,,,,,,,,,
09-29,,,,,,,,,,,,,,,
09-30,,,,,,,,,,,,,,,
10-01,,,,,,,,,,,,,,,
10-02,,,,,,,,,,,,,,,
10-03,,,,,,,,,,,,,,,
10-04,,,,,,,,,,,,,,,
10-05,,,,,,,,,,,,,,,
10-06,,,,,,,,,,,,,,,
10-07,,,,,,,,,,,,,,,
10-08,,,,,,,,,,,,,,,
10-09,,,,,,,,,,,,,,,
10-10,,,,,,,,,,,,,,,
10-11,,,,,,,,,,,,,,,
10-12,,,,,,,,,,,,,,,
10-13,,,,,,,,,,,,,,,
10-14,,,,,,,,,,,,,,,
10-15,,,,,,,,,,,,,,,
10-16,,,,,,,,,,,,,,,
10-17,,,,,,,,,,,,,,,
10-18,,,,,,,,,,,,,,,
10-19,,,,,,,,,,,,,,,
10-20,,,,,,,,,,,,,,,
10-21,,,,,,,,,,,,,,,
10-22,,,,,,,,,,,,,,,
10-23,,,,,,,,,,,,,,,
10-24,,,,,,,,,,,,,,,
10-25,,,,,,,,,,,,,,,
10-26,,,,,,,,,,,,,,,
10-27,,,,,,,,,,,,,,,
10-28,,,,,,,,,,,,,,,
10-29,,,,,,,,,,,,,,,
10-30,,,,,,,,,,,,,,,
10-31,,,,,,,,,,,,,,,
11-01,,,,,,,,,,,,,,,
11-02,,,,,,,,,,,,,,,
11-03,,,,,,,,,,,,,,,
11-04,,,,,,,,,,,,,,,
11-05,,,,,,,,,,,,,,,
11-06,,,,,,,,,,,,,,,
11-07,,,,,,,,,,,,,,,
11-08,,,,,,,,,,,,,,,
11-09,,,,,,,,,,,,,,,
11-10,,,,,,,,,,,,,,,
11-11,,,,,,,,,,,,,,,
11-12,,,,,,,,,,,,,,,
11-13,,,,,,,,,,,,,,,
11-14,,,,,,,,,,,,,,,
11-15,,,,,,,,,,,,,,,
11-16,,,,,,,,,,,,,,,
11-17,,,,,,,,,,,,,,,
11-18,,,,,,,,,,,,,,,
11-19,,,,,,,,,,,,,,,
11-20,,,,,,,,,,,,,,,
11-21,,,,,,,,,,,,,,,
11-22,,,,,,,,,,,,,,,
11-23,,,,,,,,,,,,,,,
11-24,,,,,,,,,,,,,,,
11-25,,,,,,,,,,,,,,,
11-26,,,,,,,,,,,,,,,
11-27,,,,,,,,,,,,,,,
11-28,,,,,,,,,,,,,,,
11-29,,,,,,,,,,,,,,,
11-30,,,,,,,,,,,,,,,
12-01,,,,,,,,,,,,,,,
12-02,,,,,,,,,,,,,,,
12-03,,,,,,,,,,,,,,,
12-04,,,,,,,,,,,,,,,
12-05,,,,,,,,,,,,,,,
12-06,,,,,,,,,,,,,,,
12-07,,,,,,,,,,,,,,,
12-08,,,,,,,,,,,,,,,
12-09,,,,,,,,,,,,,,,
12-10,,,,,,,,,,,,,,,
12-11,,,,,,,,,,,,,,,
12-12,,,,,,,,,,,,,,,
12-13,,,,,,,,,,,,,,,
12-14,,,,,,,,,,,,,,,
12-15,85.73,111.16,14.62,112.2,93.84,0.0,81.92,86.87,105.37,105.33,107.01,96.34,101.92,100.16,
12-16,94.49,116.59,117.54,113.55,95.04,0.0,95.4,104.69,88.25,104.18,106.79,99.67,105.94,103.07,
12-17,102.65,116.94,105.63,113.28,111.28,0.0,91.18,100.99,92.0,100.95,106.06,106.21,105.54,106.37,
12-18,78.06,114.97,98.92,112.0,103.79,0.0,85.77,105.72,105.34,105.78,105.7,106.06,98.79,105.17,
12-19,107.3,109.42,109.08,89.71,91.59,0.0,91.03,106.1,106.81,105.09,107.48,104.01,107.15,105.24,
12-20,103.01,113.56,107.13,112.03,112.08,0.0,95.35,105.72,107.72,104.86,105.73,106.43,107.03,105.37,
12-21,103.14,110.76,104.0,92.03,111.93,0.0,88.79,100.54,107.63,93.43,105.75,106.26,107.69,105.51,
12-22,112.7,93.01,97.87,94.73,111.33,0.02,91.96,98.93,107.98,105.79,105.05,105.85,106.53,104.98,
12-23,98.99,97.73,20.38,112.76,112.35,0.04,102.06,100.1,105.82,92.32,105.67,105.78,103.32,105.23,
12-24,102.83,100.45,118.69,126.67,89.58,0.0,94.45,105.01,105.13,99.2,105.27,105.28,106.47,105.45,
12-25,113.6,105.17,122.64,113.15,97.97,0.0,88.36,91.35,93.72,98.47,106.96,107.02,106.09,105.5,
12-26,97.69,82.5,114.11,112.29,99.73,0.0,85.02,102.5,106.36,90.51,98.37,91.22,106.2,104.99,
12-27,115.23,124.87,124.05,112.94,97.76,0.0,95.37,105.25,106.89,96.63,106.72,95.15,106.83,103.85,
12-28,105.45,114.57,112.26,112.96,111.3,0.0,89.84,92.49,107.76,107.75,104.16,96.74,102.22,101.34,
12-29,104.3,95.03,108.15,113.12,111.23,0.09,93.69,93.47,107.04,96.36,105.09,106.5,92.01,103.92,
12-30,105.09,106.57,81.45,112.06,110.33,0.0,86.45,94.54,105.98,89.02,104.48,105.51,105.7,99.03,
12-31,111.91,103.2,96.05,100.84,1.81,100.45,99.67,95.41,103.72,104.64,98.14,105.2,106.69,92.25,
01-01,94.87,114.03,123.62,113.05,4.18,96.22,94.64,100.84,104.02,93.93,105.06,105.79,106.05,99.18,
01-02,97.31,99.88,105.88,113.86,4.6,91.33,94.92,100.75,98.18,95.59,105.53,105.09,106.41,106.32,
01-03,80.61,86.86,122.16,113.96,5.14,95.58,93.23,100.34,94.3,105.25,105.74,107.03,106.27,106.01,
01-04,96.06,109.94,111.45,113.44,5.22,89.5,93.55,100.44,95.97,105.72,106.11,108.06,106.46,106.83,
01-05,107.76,116.45,115.32,112.43,3.23,88.95,96.8,99.91,94.88,106.44,106.08,107.76,103.95,98.05,
01-06,106.84,78.07,116.04,110.8,5.11,91.09,95.9,99.48,94.44,105.78,106.04,107.26,105.66,98.46,
01-07,99.8,108.1,110.23,96.67,5.01,91.88,92.6,91.0,105.62,99.28,106.54,107.0,106.51,105.33,
01-08,101.62,121.6,92.23,112.7,7.09,90.49,96.49,85.18,107.14,107.13,106.18,105.74,106.18,104.2,
01-09,107.31,124.1,82.32,112.93,5.31,95.79,86.23,94.97,106.7,105.29,106.84,106.11,96.34,97.34,
01-10,114.99,113.82,102.02,113.15,5.01,95.37,90.4,4.34,106.0,97.98,106.23,104.06,96.64,107.41,
01-11,108.87,110.48,88.88,88.94,6.0,95.63,100.19,105.65,105.41,107.0,101.55,106.55,106.32,105.13,
01-12,74.43,111.44,104.01,111.2,1.57,95.46,97.84,105.94,105.04,99.37,103.5,105.65,105.99,107.34,
01-13,106.24,119.54,109.6,112.55,2.28,95.72,97.78,105.72,96.53,108.96,106.73,106.15,107.29,106.12,
01-14,94.96,121.21,122.64,113.12,2.94,1.78,101.44,105.54,96.5,105.81,106.69,105.29,107.58,107.05,
01-15,90.96,125.43,109.67,111.07,4.9,96.5,106.88,98.72,96.68,90.42,106.3,105.27,107.08,107.33,
01-16,106.47,124.69,115.99,92.57,5.74,94.09,106.56,106.13,102.83,106.16,106.25,105.89,104.5,104.61,
01-17,106.06,123.66,98.13,104.82,5.01,95.21,107.03,91.03,106.04,105.88,105.88,106.56,106.71,105.57,
01-18,108.74,109.93,117.78,112.67,5.73,95.8,105.71,105.83,105.47,105.7,97.43,105.93,104.52,105.91,
01-19,110.18,119.81,86.07,105.98,7.0,95.18,105.37,99.36,103.94,105.12,106.78,106.64,106.74,90.67,
01-20,108.97,99.83,122.34,112.7,2.18,94.37,86.09,107.33,98.71,93.26,104.78,105.52,106.58,90.32,
01-21,100.14,120.99,101.86,105.22,6.61,96.12,90.23,108.38,103.5,84.47,92.76,105.47,104.52,99.83,
01-22,,,,,,,,,,,,,,,
01-23,,,,,,,,,,,,,,,
01-24,,,,,,,,,,,,,,,
01-25,,,,,,,,,,,,,,,
01-26,,,,,,,,,,,,,,,
01-27,,,,,,,,,,,,,,,
01-28,,,,,,,,,,,,,,,
01-29,,,,,,,,,,,,,,,
01-30,,,,,,,,,,,,,,,
01-31,,,,,,,,,,,,,,,
02-01,,,,,,,,,,,,,,,
02-02,,,,,,,,,,,,,,,
02-03,,,,,,,,,,,,,,,
02-04,,,,,,,,,,,,,,,
02-05,,,,,,,,,,,,,,,
02-06,,,,,,,,,,,,,,,
02-07,,,,,,,,,,,,,,,
02-08,,,,,,,,,,,,,,,
02-09,,,,,,,,,,,,,,,
02-10,,,,,,,,,,,,,,,
02-11,,,,,,,,,,,,,,,
02-12,,,,,,,,,,,,,,,
02-13,,,,,,,,,,,,,,,
02-14,,,,,,,,,,,,,,,
02-15,,,,,,,,,,,,,,,
02-16,,,,,,,,,,,,,,,
02-17,,,,,,,,,,,,,,,
02-18,,,,,,,,,,,,,,,
02-19,,,,,,,,,,,,,,,
02-20,,,,,,,,,,,,,,,
02-21,,,,,,,,,,,,,,,
02-22,,,,,,,,,,,,,,,
02-23,,,,,,,,,,,,,,,
02-24,,,,,,,,,,,,,,,
02-25,,,,,,,,,,,,,,,
02-26,,,,,,,,,,,,,,,
02-27,,,,,,,,,,,,,,,
02-28,,,,,,,,,,,,,,,
03-01,,,,,,,,,,,,,,,
03-02,,,,,,,,,,,,,,,
03-03,,,,,,,,,,,,,,,
03-04,,,,,,,,,,,,,,,
03-05,,,,,,,,,,,,,,,
03-06,,,,,,,,,,,,,,,
03-07,,,,,,,,,,,,,,,
03-08,,,,,,,,,,,,,,,
03-09,,,,,,,,,,,,,,,
03-10,,,,,,,,,,,,,,,
03-11,,,,,,,,,,,,,,,
03-12,,,,,,,,,,,,,,,
03-13,,,,,,,,,,,,,,,
03-14,,,,,,,,,,,,,,,
03-15,,,,,,,,,,,,,,,
03-16,,,,,,,,,,,,,,,
03-17,,,,,,,,,,,,,,,
03-18,,,,,,,,,,,,,,,
03-19,,,,,,,,,,,,,,,
03-20,,,,,,,,,,,,,,,
03-21,,,,,,,,,,,,,,,
03-22,,,,,,,,,,,,,,,
03-23,,,,,,,,,,,,,,,
03-24,,,,,,,,,,,,,,,
03-25,,,,,,,,,,,,,,,
03-26,,,,,,,,,,,,,,,
03-27,,,,,,,,,,,,,,,
03-28,,,,,,,,,,,,,,,
03-29,,,,,,,,,,,,,,,
03-30,,,,,,,,,,,,,,,
03-31,,,,,,,,,,,,,,,
04-01,,,,,,,,,,,,,,,
04-02,,,,,,,,,,,,,,,
04-03,,,,,,,,,,,,,,,
04-04,,,,,,,,,,,,,,,
04-05,,,,,,,,,,,,,,,
04-06,,,,,,,,,,,,,,,
04-07,,,,,,,,,,,,,,,
04-08,,,,,,,,,,,,,,,
04-09,,,,,,,,,,,,,,,
04-10,,,,,,,,,,,,,,,
04-11,,,,,,,,,,,,,,,
04-12,,,,,,,,,,,,,,,
04-13,,,,,,,,,,,,,,,
04-14,,,,,,,,,,,,,,,
04-15,,,,,,,,,,,,,,,
04-16,,,,,,,,,,,,,,,
04-17,,,,,,,,,,,,,,,
04-18,,,,,,,,,,,,,,,
04-19,,,,,,,,,,,,,,,
04-20,,,,,,,,,,,,,,,
04-21,,,,,,,,,,,,,,,
04-22,,,,,,,,,,,,,,,
04-23,,,,,,,,,,,,,,,
04-24,,,,,,,,,,,,,,,
04-25,,,,,,,,,,,,,,,
04-26,,,,,,,,,,,,,,,
04-27,,,,,,,,,,,,,,,
04-28,,,,,,,,,,,,,,,
04-29,,,,,,,,,,,,,,,
04-30,,,,,,,,,,,,,,,
05-01,,,,,,,,,,,,,,,
05-02,,,,,,,,,,,,,,,
05-03,,,,,,,,,,,,,,,
05-04,,,,,,,,,,,,,,,
05-05,,,,,,,,,,,,,,,
05-06,,,,,,,,,,,,,,,
05-07,,,,,,,,,,,,,,,
05-08,,,,,,,,,,,,,,,
05-09,,,,,,,,,,,,,,,
05-10,,,,,,,,,,,,,,,
05-11,,,,,,,,,,,,,,,
05-12,,,,,,,,,,,,,,,
05-13,,,,,,,,,,,,,,,
05-14,,,,,,,,,,,,,,,
05-15,,,,,,,,,,,,,,,
05-16,,,,,,,,,,,,,,,
05-17,,,,,,,,,,,,,,,
05-18,,,,,,,,,,,,,,,
05-19,,,,,,,,,,,,,,,
05-20,,,,,,,,,,,,,,,
05-21,,,,,,,,,,,,,,,
05-22,,,,,,,,,,,,,,,
05-23,,,,,,,,,,,,,,,
05-24,,,,,,,,,,,,,,,
05-25,,,,,,,,,,,,,,,
05-26,,,,,,,,,,,,,,,
05-27,,,,,,,,,,,,,,,
05-28,,,,,,,,,,,,,,,
05-29,,,,,,,,,,,,,,,
05-30,,,,,,,,,,,,,,,
05-31,,,,,,,,,,,,,,,
06-01,,,,,,,,,,,,,,,
06-02,,,,,,,,,,,,,,,
06-03,,,,,,,,,,,,,,,
06-04,,,,,,,,,,,,,,,
06-05,,,,,,,,,,,,,,,
06-06,,,,,,,,,,,,,,,
06-07,,,,,,,,,,,,,,,
06-08,,,,,,,,,,,,,,,
06-09,,,,,,,,,,,,,,,
06-10,,,,,,,,,,,,,,,
06-11,,,,,,,,,,,,,,,
06-12,,,,,,,,,,,,,,,
06-13,,,,,,,,,,,,,,,
06-14,,,,,,,,,,,,,,,
06-15,,,,,,,,,,,,,,,
06-16,,,,,,,,,,,,,,,
06-17,,,,,,,,,,,,,,,
06-18,,,,,,,,,,,,,,,
06-19,,,,,,,,,,,,,,,
06-20,,,,,,,,,,,,,,,
06-21,,,,,,,,,,,,,,,
06-22,,,,,,,,,,,,,,,
06-23,,,,,,,,,,,,,,,
06-24,,,,,,,,,,,,,,,
06-25,,,,,,,,,,,,,,,
06-26,,,,,,,,,,,,,,,
06-27,,,,,,,,,,,,,,,
06-28,,,,,,,,,,,,,,,
06-29,,,,,,,,,,,,,,,
06-30,,,,,,,,,,,,,,,
07-01,,,,,,,,,,,,,,,
07-02,,,,,,,,,,,,,,,
07-03,,,,,,,,,,,,,,,
07-04,,,,,,,,,,,,,,,
07-05,,,,,,,,,,,,,,,
07-06,,,,,,,,,,,,,,,
07-07,,,,,,,,,,,,,,,
07-08,,,,,,,,,,,,,,,
07-09,,,,,,,,,,,,,,,
07-10,,,,,,,,,,,,,,,
07-11,,,,,,,,,,,,,,,
07-12,,,,,,,,,,,,,,,
07-13,,,,,,,,,,,,,,,
07-14,,,,,,,,,,,,,,,
07-15,,,,,,,,,,,,,,,
07-16,,,,,,,,,,,,,,,
07-17,,,,,,,,,,,,,,,
07-18,,,,,,,,,,,,,,,
07-19,,,,,,,,,,,,,,,
07-20,,,,,,,,,,,,,,,
07-21,,,,,,,,,,,,,,,
07-22,,,,,,,,,,,,,,,
07-23,,,,,,,,,,,,,,,
07-24,,,,,,,,,,,,,,,
07-25,,,,,,,,,,,,,,,
07-26,,,,,,,,,,,,,,,
07-27,,,,,,,,,,,,,,,
07-28,,,,,,,,,,,,,,,
07-29,,,,,,,,,,,,,,,
07-30,,,,,,,,,,,,,,,
07-31,,,,,,,,,,,,,,,
08-01,,,,,,,,,,,,,,,
08-02,,,,,,,,,,,,,,,
08-03,,,,,,,,,,,,,,,
08-04,,,,,,,,,,,,,,,
08-05,,,,,,,,,,,,,,,
08-06,,,,,,,,,,,,,,,
08-07,,,,,,,,,,,,,,,
08-08,,,,,,,,,,,,,,,
08-09,,,,,,,,,,,,,,,
08-10,,,,,,,,,,,,,,,
08-11,,,,,,,,,,,,,,,
08-12,,,,,,,,,,,,,,,
08-13,,,,,,,,,,,,,,,
08-14,,,,,,,,,,,,,,,
08-15,,,,,,,,,,,,,,,
08-16,,,,,,,,,,,,,,,
08-17,,,,,,,,,,,,,,,
08-18,,,,,,,,,,,,,,,
08-19,,,,,,,,,,,,,,,
08-20,,,,,,,,,,,,,,,
08-21,,,,,,,,,,,,,,,
08-22,,,,,,,,,,,,,,,
08-23,,,,,,,,,,,,,,,
08-24,,,,,,,,,,,,,,,
08-25,,,,,,,,,,,,,,,
08-26,,,,,,,,,,,,,,,
08-27,,,,,,,,,,,,,,,
08-28,,,,,,,,,,,,,,,
08-29,,,,,,,,,,,,,,,
08-30,,,,,,,,,,,,,,,
08-31,,,,,,,,,,,,,,,
09-01,,,,,,,,,,,,,,,
09-02,,,,,,,,,,,,,,,
09-03,,,,,,,,,,,,,,,
09-04,,,,,,,,,,,,,,,
09-05,,,,,,,,,,,,,,,
09-06,,,,,,,,,,,,,,,
09-07,,,,,,,,,,,,,,,
09-08,,,,,,,,,,,,,,,
09-09,,,,,,,,,,,,,,,
09-10,,,,,,,,,,,,,,,
09-11,,,,,,,,,,,,,,,
09-12,,,,,,,,,,,,,,,
09-13,,,,,,,,,,,,,,,
09-14,,,,,,,,,,,,,,,
09-15,,,,,,,,,,,,,,,
09-16,,,,,,,,,,,,,,,
09-17,,,,,,,,,,,,,,,
09-18,,,,,,,,,,,,,,,
09-19,,,,,,,,,,,,,,,
09-20,,,,,,,,,,,,,,,
09-21,,,,,,,,,,,,,,,
09-22,,,,,,,,,,,,,,,
09-23,,,,,,,,,,,,,,,
09-24,,,,,,,,,,,,,,,
09-25,,,,,,,,,,,,,,,
09-26,,,,,,,,,,,,,,,
09-27,,,,,,,,,,,,,,,
09-28,,,,,,,,,,,,,,,
09-29,,,,,,,,,,,,,,,
09-30,,,,,,,,,,,,,,,
10-01,,,,,,,,,,,,,,,
10-02,,,,,,,,,,,,,,,
10-03,,,,,,,,,,,,,,,
10-04,,,,,,,,,,,,,,,
10-05,,,,,,,,,,,,,,,
10-06,,,,,,,,,,,,,,,
10-07,,,,,,,,,,,,,,,
10-08,,,,,,,,,,,,,,,
10-09,,,,,,,,,,,,,,,
10-10,,,,,,,,,,,,,,,
10-11,,,,,,,,,,,,,,,
10-12,,,,,,,,,,,,,,,
10-13,,,,,,,,,,,,,,,
10-14,,,,,,,,,,,,,,,
10-15,,,,,,,,,,,,,,,
10-16,,,,,,,,,,,,,,,
10-17,,,,,,,,,,,,,,,
10-18,,,,,,,,,,,,,,,
10-19,,,,,,,,,,,,,,,
10-20,,,,,,,,,,,,,,,
10-21,,,,,,,,,,,,,,,
10-22,,,,,,,,,,,,,,,
10-23,,,,,,,,,,,,,,,
10-24,,,,,,,,,,,,,,,
10-25,,,,,,,,,,,,,,,
10-26,,,,,,,,,,,,,,,
10-27,,,,,,,,,,,,,,,
10-28,,,,,,,,,,,,,,,
10-29,,,,,,,,,,,,,,,
10-30,,,,,,,,,,,,,,,
10-31,,,,,,,,,,,,,,,
11-01,,,,,,,,,,,,,,,
11-02,,,,,,,,,,,,,,,
11-03,,,,,,,,,,,,,,,
11-04,,,,,,,,,,,,,,,
11-05,,,,,,,,,,,,,,,
11-06,,,,,,,,,,,,,,,
11-07,,,,,,,,,,,,,,,
11-08,,,,,,,,,,,,,,,
11-09,,,,,,,,,,,,,,,
11-10,,,,,,,,,,,,,,,
11-11,,,,,,,,,,,,,,,
11-12,,,,,,,,,,,,,,,
11-13,,,,,,,,,,,,,,,
11-14,,,,,,,,,,,,,,,
11-15,,,,,,,,,,,,,,,
11-16,,,,,,,,,,,,,,,
11-17,,,,,,,,,,,,,,,
11-18,,,,,,,,,,,,,,,
11-19,,,,,,,,,,,,,,,
11-20,,,,,,,,,,,,,,,
11-21,,,,,,,,,,,,,,,
11-22,,,,,,,,,,,,,,,
11-23,,,,,,,,,,,,,,,
11-24,,,,,,,,,,,,,,,
11-25,,,,,,,,,,,,,,,
11-26,,,,,,,,,,,,,,,
11-27,,,,,,,,,,,,,,,
11-28,,,,,,,,,,,,,,,
11-29,,,,,,,,,,,,,,,
11-30,,,,,,,,,,,,,,,
12-01,,,,,,,,,,,,,,,
12-02,,,,,,,,,,,,,,,
12-03,,,,,,,,,,,,,,,
12-04,,,,,,,,,,,,,,,
12-05,,,,,,,,,,,,,,,
12-06,,,,,,,,,,,,,,,
12-07,,,,,,,,,,,,,,,
12-08,,,,,,,,,,,,,,,
12-09,,,,,,,,,,,,,,,
12-10,,,,,,,,,,,,,,,
12-11,,,,,,,,,,,,,,,
12-12,,,,,,,,,,,,,,,
12-13,,,,,,,,,,,,,,,
12-14,,,,,,,,,,,,,,,
12-15,85.73,111.16,14.62,112.2,93.84,0.0,81.92,86.87,105.37,105.33,107.01,96.34,101.92,100.16,
12-16,94.49,116.59,117.54,113.55,95.04,0.0,95.4,104.69,88.25,104.18,106.79,99.67,105.94,103.07,
12-17,102.65,116.94,105.63,113.28,111.28,0.0,91.18,100.99,92.0,100.95,106.06,106.21,105.54,106.37,
12-18,78.06,114.97,98.92,112.0,103.79,0.0,85.77,105.72,105.34,105.78,105.7,106.06,98.79,105.17,
12-19,107.3,109.42,109.08,89.71,91.59,0.0,91.03,106.1,106.81,105.09,107.48,104.01,107.15,105.24,
12-20,103.01,113.56,107.13,112.03,112.08,0.0,95.35,105.72,107.72,104.86,105.73,106.43,107.03,105.37,
12-21,103.14,110.76,104.0,92.03,111.93,0.0,88.79,100.54,107.63,93.43,105.75,106.26,107.69,105.51,
12-22,112.7,93.01,97.87,94.73,111.33,0.02,91.96,98.93,107.98,105.79,105.05,105.85,106.53,104.98,
12-23,98.99,97.73,20.38,112.76,112.35,0.04,102.06,100.1,105.82,92.32,105.67,105.78,103.32,105.23,
12-24,102.83,100.45,118.69,126.67,89.58,0.0,94.45,105.01,105.13,99.2,105.27,105.28,106.47,105.45,
12-25,113.6,105.17,122.64,113.15,97.97,0.0,88.36,91.35,93.72,98.47,106.96,107.02,106.09,105.5,
12-26,97.69,82.5,114.11,112.29,99.73,0.0,85.02,102.5,106.36,90.51,98.37,91.22,106.2,104.99,
12-27,115.23,124.87,124.05,112.94,97.76,0.0,95.37,105.25,106.89,96.63,106.72,95.15,106.83,103.85,
12-28,105.45,114.57,112.26,112.96,111.3,0.0,89.84,92.49,107.76,107.75,104.16,96.74,102.22,101.34,
12-29,104.3,95.03,108.15,113.12,111.23,0.09,93.69,93.47,107.04,96.36,105.09,106.5,92.01,103.92,
12-30,105.09,106.57,81.45,112.06,110.33,0.0,86.45,94.54,105.98,89.02,104.48,105.51,105.7,99.03,
12-31,111.91,103.2,96.05,100.84,1.81,100.45,99.67,95.41,103.72,104.64,98.14,105.2,106.69,92.25,
01-01,94.87,114.03,123.62,113.05,4.18,96.22,94.64,100.84,104.02,93.93,105.06,105.79,106.05,99.18,
01-02,97.31,99.88,105.88,113.86,4.6,91.33,94.92,100.75,98.18,95.59,105.53,105.09,106.41,106.32,
01-03,80.61,86.86,122.16,113.96,5.14,95.58,93.23,100.34,94.3,105.25,105.74,107.03,106.27,106.01,
01-04,96.06,109.94,111.45,113.44,5.22,89.5,93.55,100.44,95.97,105.72,106.11,108.06,106.46,106.83,
01-05,107.76,116.45,115.32,112.43,3.23,88.95,96.8,99.91,94.88,106.44,106.08,107.76,103.95,98.05,
01-06,106.84,78.07,116.04,110.8,5.11,91.09,95.9,99.48,94.44,105.78,106.04,107.26,105.66,98.46,
01-07,99.8,108.1,110.23,96.67,5.01,91.88,92.6,91.0,105.62,99.28,106.54,107.0,106.51,105.33,
01-08,101.62,121.6,92.23,112.7,7.09,90.49,96.49,85.18,107.14,107.13,106.18,105.74,106.18,104.2,
01-09,107.31,124.1,82.32,112.93,5.31,95.79,86.23,94.97,106.7,105.29,106.84,106.11,96.34,97.34,
01-10,114.99,113.82,102.02,113.15,5.01,95.37,90.4,4.34,106.0,97.98,106.23,104.06,96.64,107.41,
01-11,108.87,110.48,88.88,88.94,6.0,95.63,100.19,105.65,105.41,107.0,101.55,106.55,106.32,105.13,
01-12,74.43,111.44,104.01,111.2,1.57,95.46,97.84,105.94,105.04,99.37,103.5,105.65,105.99,107.34,
01-13,106.24,119.54,109.6,112.55,2.28,95.72,97.78,105.72,96.53,108.96,106.73,106.15,107.29,106.12,
01-14,94.96,121.21,122.64,113.12,2.94,1.78,101.44,105.54,96.5,105.81,106.69,105.29,107.58,107.05,
01-15,90.96,125.43,109.67,111.07,4.9,96.5,106.88,98.72,96.68,90.42,106.3,105.27,107.08,107.33,
01-16,106.47,124.69,115.99,92.57,5.74,94.09,106.56,106.13,102.83,106.16,106.25,105.89,104.5,104.61,
01-17,106.06,123.66,98.13,104.82,5.01,95.21,107.03,91.03,106.04,105.88,105.88,106.56,106.71,105.57,
